,Authors,Author full names,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Abstract,Author Keywords,Index Keywords,Document Type,Publication Stage,Open Access,Source,EID,No Stopwords Abstract,TFIDF Keywords
0,Bai C.; Liu D.; Liu Y.,"Bai, Chengyu (58812994700); Liu, Dan (59153999500); Liu, Yong (59153999600)",58812994700; 59153999500; 59153999600,Executive team restructuring and corporate ESG disclosure quality,2024,Finance Research Letters,66,,105654,,,,0,10.1016/j.frl.2024.105654,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85195069694&doi=10.1016%2fj.frl.2024.105654&partnerID=40&md5=35490da323776f085d0ef7a2490213bf,"This paper explores the impact mechanism of executive team restructuring on corporate ESG disclosure quality from the perspective of executive team restructuring. It is found that executive team restructuring enhances disclosure quality by introducing diverse executive members. This enhancement will be more evident in non-state-owned enterprises. A typology test of executive team restructuring finds that team restructuring of core executive members, such as CEOs, weakens the executive team's adaptive capacity and planning ability in a short period, thus hindering the facilitating effect. © 2024",Executive team restructuring; Key executives; Quality of ESG information disclosure,,Article,Final,,Scopus,2-s2.0-85195069694,paper explores impact mechanism executive team restructuring corporate esg disclosure quality perspective executive team restructuring it found executive team restructuring enhances disclosure quality introducing diverse executive members enhancement will more evident non state owned enterprises typology test executive team restructuring finds team restructuring core executive members such ceos weakens executive team s adaptive capacity planning ability short period thus hindering facilitating effect ©,"['executive team', 'team restructuring', 'executive members', 'disclosure quality', 'adaptive capacity']"
1,Liu W.; Jing K.,"Liu, Wenling (58564581500); Jing, Kui (57218563034)",58564581500; 57218563034,ESG portfolio for TDFs with time-varying higher moments and cardinality constraint,2024,International Transactions in Operational Research,31,6,,4270,4295,25.0,0,10.1111/itor.13364,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85169903110&doi=10.1111%2fitor.13364&partnerID=40&md5=bd44047b30f9307b883d80ef52cc24c9,"Pension funds are crucial in supporting environmentally sustainable and socially responsible investments. This paper focuses on an essential product of pension funds, target date funds (TDFs), constructing its portfolio model that considers environmental, social, and governance (ESG) investment. Our model utilizes the mean–variance–skewness–kurtosis optimization framework and accounts for the time-varying relationship between realized higher moments and subsequent TDFs performance. A cardinality constraint is included to prevent over-diversification and reduce costs, controlling the number of constituent funds in the TDFs. Since the model is multiobjective, we transform it into a single-objective optimization through the investment manager's preferences. The numerical experiments represent the most suitable time-varying higher moment strategy for the Chinese market and demonstrate the model's applicability to managers prioritizing risk over returns, which resonates well with the conservative investment of pension funds. We prove that controlling the number of constituent funds with cardinality constraint is advantageous for improving TDFs' performance. By selecting ESG funds as underlying assets, we highlight that green TDFs have better long-term performance in terms of higher moment risk. © 2023 International Federation of Operational Research Societies.",and governance investment; portfolio selection; cardinality constraint; higher moments; social; target date funds; environmental,Higher order statistics; And governance investment;; Cardinality constraint;; Cardinality constraints; Environmental; High moment; Portfolio selection; Portfolio selection;; Social; Target date fund;; Time varying; Investments,Article,Final,All Open Access; Bronze Open Access,Scopus,2-s2.0-85169903110,pension funds are crucial supporting environmentally sustainable socially responsible investments paper focuses essential product pension funds target date funds tdfs constructing its portfolio model considers environmental social governance esg investment model utilizes mean–variance–skewness–kurtosis optimization framework accounts time varying relationship between realized higher moments subsequent tdfs performance cardinality constraint included prevent over diversification reduce costs controlling number constituent funds tdfs since model multiobjective transform it into single objective optimization through investment manager s preferences numerical experiments represent most suitable time varying higher moment strategy chinese market demonstrate model s applicability managers prioritizing risk over returns which resonates well conservative investment pension funds prove controlling number constituent funds cardinality constraint advantageous improving tdfs performance selecting esg funds underlying assets highlight green tdfs have better long term performance terms higher moment risk © international federation operational research societies,"['pension funds', 'time varying', 'constituent funds', 'number constituent', 'funds tdfs']"
2,Xue Q.; Jin Y.; Zhang C.,"Xue, Qinyuan (58895840600); Jin, Yifei (58895623700); Zhang, Cheng (56049714000)",58895840600; 58895623700; 56049714000,ESG rating results and corporate total factor productivity,2024,International Review of Financial Analysis,95,,103381,,,,0,10.1016/j.irfa.2024.103381,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85195187848&doi=10.1016%2fj.irfa.2024.103381&partnerID=40&md5=f67699d0abe2d8d902b210a0e2b32bba,"As a measure of corporate environmental, social, and governance (ESG) performance, ESG ratings have increasingly gained attention from corporations, the public, and government agencies, gradually becoming a key factor influencing their perceptions and decision-making regarding corporations. This study explores the impact of corporate ESG ratings on Total Factor Productivity (TFP) and its underlying mechanisms. Using listed companies in China as the research sample, it was found that higher ESG ratings significantly enhance corporate TFP, a conclusion that holds even after conducting robustness checks and addressing endogeneity issues. Further analysis indicates that high ESG ratings improve corporate TFP by reducing financing constraints and increasing government subsidies. Heterogeneity analysis shows that the effect of ESG ratings on enhancing TFP is more pronounced for corporations with high levels of attention, good reputations, and high audit quality. Additionally, the study also examines whether ESG ratings can serve as an effective predictor of corporate TFP. By applying machine learning algorithms for validation, the results show that incorporating ESG ratings significantly improves the accuracy of predictions for corporate TFP. © 2023",ESG ratings; Financing constraints; Government subsidies; TFP Forecasting; Total Factor Productivity (TFP),,Article,Final,,Scopus,2-s2.0-85195187848,measure corporate environmental social governance esg performance esg ratings have increasingly gained attention corporations public government agencies gradually becoming key factor influencing perceptions decision making regarding corporations study explores impact corporate esg ratings total factor productivity tfp its underlying mechanisms using listed companies china research sample it was found higher esg ratings significantly enhance corporate tfp conclusion holds even after conducting robustness checks addressing endogeneity issues further analysis indicates high esg ratings improve corporate tfp reducing financing constraints increasing government subsidies heterogeneity analysis effect esg ratings enhancing tfp more pronounced corporations high levels attention good reputations high audit quality study examines whether esg ratings can serve effective predictor corporate tfp applying machine learning algorithms validation results show incorporating esg ratings significantly improves accuracy predictions corporate tfp ©,"['esg ratings', 'corporate tfp', 'ratings significantly', 'ratings enhancing', 'ratings can']"
3,Zhang J.; Wu W.,"Zhang, Jianfeng (57891591300); Wu, Wang (58939420000)",57891591300; 58939420000,The impact of foreign ownership on corporate ESG performance,2024,Finance Research Letters,66,,105602,,,,0,10.1016/j.frl.2024.105602,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85194866860&doi=10.1016%2fj.frl.2024.105602&partnerID=40&md5=cf544d3fabdf714c886e105ce1f7493e,"This paper uses the data of Chinese A-share listed companies from 2012 to 2022 to systematically analyze the impact of foreign shareholding on corporate ESG performance. The findings show that foreign shareholding has a positive contribution to corporate ESG performance, and as the proportion of foreign shareholding increases, the performance of corporate ESG performance improves accordingly. In addition, foreign ownership further enhances corporate ESG performance through the mediating variable of increasing analyst attention. In particular, this positive effect is more significant in non-state-owned firms. © 2024",Analyst attention; ESG performance; Foreign ownership,,Article,Final,,Scopus,2-s2.0-85194866860,paper uses data chinese share listed companies systematically analyze impact foreign shareholding corporate esg performance findings show foreign shareholding positive contribution corporate esg performance proportion foreign shareholding increases performance corporate esg performance improves accordingly addition foreign ownership further enhances corporate esg performance through mediating variable increasing analyst attention particular positive effect more significant non state owned firms ©,"['esg performance', 'corporate esg', 'foreign shareholding', 'accordingly addition', 'attention particular']"
4,Chen X.; Wan P.; Ma Z.; Yang Y.,"Chen, Xiangyu (57210161255); Wan, Peng (57210147714); Ma, Zhefeng (58941076600); Yang, Yu (58941076700)",57210161255; 57210147714; 58941076600; 58941076700,Does corporate digital transformation restrain ESG decoupling? Evidence from China,2024,Humanities and Social Sciences Communications,11,1,407,,,,0,10.1057/s41599-024-02921-w,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85187888645&doi=10.1057%2fs41599-024-02921-w&partnerID=40&md5=51cbcf6edcb7e1acf351f3314b016752,"This paper empirically examines the efficacy of corporate digital transformation on a firm’s environmental, social, and governance (ESG) decoupling. Adopting the text analysis method and using a sample of Chinese A-share listed firms from 2010 to 2019, this paper finds that digital transformation can significantly alleviate ESG decoupling, and this relationship persists after robustness tests. Mechanism analysis reveals that digital transformation reduces ESG decoupling by improving information processing ability and relieving information asymmetry. The relationship between corporate digital transformation and ESG decoupling is stronger among companies in eastern China and firms that do not follow GRI guidance. The economic consequence analysis suggests that corporate digital transformation promotes firms’ high-quality development by reducing ESG decoupling. This study helps reveal corporate digital transformation’s empowering role and governance role in ESG decoupling and contributes to the growing literature on ESG decoupling and corporate digital transformation. © The Author(s) 2024.",,,Article,Final,All Open Access; Gold Open Access,Scopus,2-s2.0-85187888645,paper empirically examines efficacy corporate digital transformation firm’s environmental social governance esg decoupling adopting text analysis method using sample chinese share listed firms paper finds digital transformation can significantly alleviate esg decoupling relationship persists after robustness tests mechanism analysis reveals digital transformation reduces esg decoupling improving information processing ability relieving information asymmetry relationship between corporate digital transformation esg decoupling stronger companies eastern china firms do not follow gri guidance economic consequence analysis suggests corporate digital transformation promotes firms’ high quality development reducing esg decoupling study helps reveal corporate digital transformation’s empowering role governance role esg decoupling contributes growing literature esg decoupling corporate digital transformation © author s,"['digital transformation', 'esg decoupling', 'corporate digital', 'helps reveal', 'relationship between']"
5,Ricci O.; Santilli G.; Scardozzi G.; Stentella Lopes F.S.,"Ricci, Ornella (36519718800); Santilli, Gianluca (58288946000); Scardozzi, Giulia (57703285400); Stentella Lopes, Francesco Saverio (57195448881)",36519718800; 58288946000; 57703285400; 57195448881,ESG resilience in conflictual times,2024,Research in International Business and Finance,71,,102411,,,,0,10.1016/j.ribaf.2024.102411,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85195361349&doi=10.1016%2fj.ribaf.2024.102411&partnerID=40&md5=dcc78377d95a2cf3166514decec7e471,"Measuring the market reaction to a series of announcements related to gas rationing, we find that stock returns of firms with high ESG scores are less affected than their peers. Negative abnormal returns caused by the escalation of the Russia–Ukraine conflict are significantly less pronounced for firms with high scores in the environmental pillar of their ESG evaluation. This effect is mainly driven by the efficient usage of natural resources and low carbon emissions. This evidence is robust to different asset-pricing model specifications. Our findings suggest that higher environmental commitment makes companies more resilient to geopolitical shocks affecting the market price of fossil resources. Interestingly, the evidence in favour of ESG resilience mainly comes from countries more dependent on energy import. © 2024 Elsevier B.V.",ESG; Europe; Gas shocks; Stock returns,,Article,Final,,Scopus,2-s2.0-85195361349,measuring market reaction series announcements related gas rationing find stock returns firms high esg scores are less affected than peers negative abnormal returns caused escalation russia–ukraine conflict are significantly less pronounced firms high scores environmental pillar esg evaluation effect mainly driven efficient usage natural resources low carbon emissions evidence robust different asset pricing model specifications findings suggest higher environmental commitment makes companies more resilient geopolitical shocks affecting market price fossil resources interestingly evidence favour esg resilience mainly comes countries more dependent energy import © elsevier v,"['firms high', 'pronounced firms', 'pricing model', 'price fossil', 'pillar esg']"
6,Espinosa-Méndez C.; Maquieira C.; Arias J.T.,"Espinosa-Méndez, Christian (57195557844); Maquieira, Carlos (6507847008); Arias, José Tomás (53876945500)",57195557844; 6507847008; 53876945500,ESG performance on the value of family firms: international evidence during Covid-19,2024,Humanities and Social Sciences Communications,11,1,586,,,,0,10.1057/s41599-024-03074-6,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85192370980&doi=10.1057%2fs41599-024-03074-6&partnerID=40&md5=85de6410728214f4df75c8ccc1eab9d5,"The link between the financial success of family companies during COVID-19 and their environmental, social, and governance (ESG) performance is examined for the first time in this research. We have a natural setting in the COVID-19 era to see if the market rewards family-run firms that integrate social and environmental concerns into their goals during uncertain times. Since they can enhance their image and reputation, which the market values, these companies are likely to pursue broader social objectives, such as environmental improvement (socioemotional wealth perspective); alternatively, managers can act as stewards of the family’s interests by using these initiatives to increase the company’s value (stewardship perspective). However, it is also possible that in this type of companies economic interests prevail over social wellness (“amoral familism”). Therefore, family-owned firms could be reluctant to implement ESG practices unless they yield certain socioemotional benefits, including enhancing or maintaining their reputation in the public eye. In light of the above, we use an international display of the 500 biggest family firms in the world from 2015 to 2021. Taking into account an endogenous relationship between ESG performance and family business value, the study uses generalized moments to construct a dynamic panel (GMM). The primary conclusion is that there is a positive correlation between corporate valuation and ESG performance. Nonetheless, it has been noted that the performance of the companies is negatively impacted during the COVID-19 period. However, for firms with superior ESG performance, this negative impact did not exist over this period, supporting the idea that investors view better ESG performance as a prediction of future good stock performance. The results have a variety of implications. To begin with, this study adds to the body of knowledge on the environmentally friendly and sustainable expansion of family companies by providing recommendations for investors and businesses to better understand the influence of ESG on the profitability of family businesses. Furthermore, managers have to concentrate on enhancing the ESG performance of their organizations as it has the potential to increase value, draw in investments, encourage sustainability, control risks, affect earnings, and interact with the ownership structure. Additionally, managers need to consider how important it is to have a strong ESG performance in order to mitigate the negative effects of external crises like the COVID-19 epidemic. It’s crucial to remember that the precise impact might change based on the sector and other aspects unique to each company. © The Author(s) 2024.",,,Article,Final,All Open Access; Gold Open Access,Scopus,2-s2.0-85192370980,link between financial success family companies during covid environmental social governance esg performance examined first time research have natural setting covid era if market rewards family run firms integrate social environmental concerns into goals during uncertain times since they can enhance image reputation which market values these companies are likely pursue broader social objectives such environmental improvement socioemotional wealth perspective alternatively managers can act stewards family’s interests using these initiatives increase company’s value stewardship perspective it possible type companies economic interests prevail over social wellness “amoral familism” therefore family owned firms reluctant implement esg practices unless they yield certain socioemotional benefits including enhancing maintaining reputation public eye light above use international display biggest family firms world taking into account endogenous relationship between esg performance family business value study uses generalized moments construct dynamic panel gmm primary conclusion positive correlation between corporate valuation esg performance nonetheless it been noted performance companies negatively impacted during covid period firms superior esg performance negative impact did not exist over period supporting idea investors view better esg performance prediction future good stock performance results have variety implications begin study adds body knowledge environmentally friendly sustainable expansion family companies providing recommendations investors businesses better understand influence esg profitability family businesses furthermore managers have concentrate enhancing esg performance organizations it potential increase value draw investments encourage sustainability control risks affect earnings interact ownership structure managers need consider how important it have strong esg performance order mitigate negative effects external crises covid epidemic it’s crucial remember precise impact might change based sector other aspects unique each company © author s,"['esg performance', 'family companies', 'during covid', 'performance organizations', 'performance order']"
7,Chen W.; Arn G.; Song H.; Xie Y.,"Chen, Wei (57191052063); Arn, Guzi (59179694700); Song, Hongti (58557319100); Xie, Yu (57303174000)",57191052063; 59179694700; 58557319100; 57303174000,The influences of digital finance on green technological innovation in China's manufacturing sector: The threshold effects of ESG performance,2024,Journal of Cleaner Production,467,,142953,,,,0,10.1016/j.jclepro.2024.142953,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85196408902&doi=10.1016%2fj.jclepro.2024.142953&partnerID=40&md5=63f3a691e340330a26732e7264b7a421,"In the digital economy era, the link between digital finance and green technology innovation is crucial yet under-explored. This study investigates how digital finance influences green technology innovation in China's manufacturing sector, analyzing A-share listed companies from 2013 to 2022. Findings indicate that digital finance directly enhances green innovation and helps enterprises overcome financing constraints by providing alternative funding sources. It also boosts R&D investment, further fostering green innovation. Moreover, corporate ESG performance significantly impacts this relationship, with stronger effects observed in state-owned, non-heavy polluting, and non-high-tech enterprises. These insights suggest that digital finance can be a catalyst for sustainable technological advancement. © 2024 Elsevier Ltd",Corporate ESG performance; Digital finance; Green technology innovation; Manufacturing,Engineering research; Investments; Corporate ESG performance; Corporates; Digital finance; Green innovations; Green technology; Green technology innovation; Manufacturing; Manufacturing sector; Performance; Technology innovation; Economics,Article,Final,,Scopus,2-s2.0-85196408902,digital economy era link between digital finance green technology innovation crucial yet under explored study investigates how digital finance influences green technology innovation china s manufacturing sector analyzing share listed companies findings indicate digital finance directly enhances green innovation helps enterprises overcome financing constraints providing alternative funding sources it boosts r d investment further fostering green innovation moreover corporate esg performance significantly impacts relationship stronger effects observed state owned non heavy polluting non high tech enterprises these insights suggest digital finance can catalyst sustainable technological advancement © elsevier ltd,"['digital finance', 'technology innovation', 'green technology', 'green innovation', 'observed state']"
8,Zhang R.; Fu Y.; Chen Y.; Du B.,"Zhang, Ruyan (59171568500); Fu, Yongcheng (55953532100); Chen, Yongqiang (56486908800); Du, Bo (57223866258)",59171568500; 55953532100; 56486908800; 57223866258,Down to Earth: Implementing Project-Level ESG Metrics in Chinese AEC Firms' Practices,2024,Journal of Management in Engineering,40,5,4024035,,,,0,10.1061/JMENEA.MEENG-5941,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85195891919&doi=10.1061%2fJMENEA.MEENG-5941&partnerID=40&md5=caa41905d4f0bde43fd7874db89f93d6,"As means to many ends, architecture, engineering, and construction (AEC) projects are the frontline to address environmental, social, and governance (ESG) concerns. Despite the high prevalence of ESG, little is known about how to assess and implement ESG as a practice in AEC projects, and such sparseness impedes the AEC firms pursuing this goal. Therefore, from the AEC firms' point of view, this exploratory study tailored holistic project-level ESG metrics along life-cycle dynamics using a combination of methods, including a literature review, content analysis of ESG reports from sample Chinese AEC firms, and semistructured interviews. The authors used established ESG metrics as the coding scheme to develop an anatomy of ESG practices for AEC firms. The proposed ESG metrics are composed of 12 Tier-1 indicators and 41 Tier-2 indicators. This study contributes to the body of knowledge by extending the ESG concept to the project level, facilitating the operationalization of project-level ESG, and unfolding how projects obtain social legitimacy for AEC firms through ESG practices. This study also facilitates decision-making and provides managerial implications for professionals in the AEC industry who need an ESG assessment tool in the bidding process to evaluate owners' ESG requirements, in the implementation stages to manage and supervise project delivery, and in postconstruction stages to assess a project's ESG performance. © 2024 American Society of Civil Engineers.","Architecture; Contractor; Engineering and construction project; Environmental, social, and governance (ESG) metrics","Life cycle; Office buildings; Project management; Architecture engineering; Chinese architectures; Construction projects; Engineering and construction firms; Engineering program; Environmental, social, and governance  metric; Exploratory studies; Frontline; Literature reviews; Project levels; Decision making",Article,Final,,Scopus,2-s2.0-85195891919,means many ends architecture engineering construction aec projects are frontline address environmental social governance esg concerns despite high prevalence esg little known about how assess implement esg practice aec projects such sparseness impedes aec firms pursuing goal therefore aec firms point view exploratory study tailored holistic project level esg metrics along life cycle dynamics using combination methods including literature review content analysis esg reports sample chinese aec firms semistructured interviews authors used established esg metrics coding scheme develop anatomy esg practices aec firms proposed esg metrics are composed tier indicators tier indicators study contributes body knowledge extending esg concept project level facilitating operationalization project level esg unfolding how projects obtain social legitimacy aec firms through esg practices study facilitates decision making provides managerial implications professionals aec industry who need esg assessment tool bidding process evaluate owners esg requirements implementation stages manage supervise project delivery postconstruction stages assess project s esg performance © american society civil engineers,"['aec firms', 'project level', 'esg metrics', 'level esg', 'tier indicators']"
9,Hsiao H.-F.; Zhong T.; Wang J.,"Hsiao, Hsiao-Fen (35292259200); Zhong, Tingyong (57215507708); Wang, Jun (58791710200)",35292259200; 57215507708; 58791710200,Does national culture influence corporate social responsibility on firm performance?,2024,Humanities and Social Sciences Communications,11,1,5,,,,0,10.1057/s41599-023-02538-5,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85181238884&doi=10.1057%2fs41599-023-02538-5&partnerID=40&md5=eb144157dd1c0f3a671df271cf983b2f,"In recent years, the influence of corporate social responsibility (CSR) on firm performance has received increasing attention, with academic research deepening in this field. This study introduces national culture as a moderating variable and explores the relationship between national culture, CSR, and firm performance to determine the role of national culture in the impact of CSR on firm performance. Data of listed companies from 15 different countries, between 2011 and 2020, were collected for empirical analysis. Comprehensive environmental, social and governance (ESG) score was used to measure the degree of CSR fulfillment. The results reveal that CSR hinders firm performance. In terms of national culture, power distance index, and uncertainty avoidance have a negative relationship with firm performance, while individualism has a positive impact. Conversely, power distance index can enhance the negative correlation between CSR and firm performance. This study suggests that governments should appropriately intervene in the implementation of CSR and take the initiative to foster a national cultural climate of individualism and democracy. © 2024, The Author(s).",,,Article,Final,All Open Access; Gold Open Access,Scopus,2-s2.0-85181238884,recent years influence corporate social responsibility csr firm performance received increasing attention academic research deepening field study introduces national culture moderating variable explores relationship between national culture csr firm performance determine role national culture impact csr firm performance data listed companies different countries between were collected empirical analysis comprehensive environmental social governance esg score was used measure degree csr fulfillment results reveal csr hinders firm performance terms national culture power distance index uncertainty avoidance have negative relationship firm performance while individualism positive impact conversely power distance index can enhance negative correlation between csr firm performance study suggests governments appropriately intervene implementation csr take initiative foster national cultural climate individualism democracy © author s,"['firm performance', 'csr firm', 'national culture', 'power distance', 'distance index']"
10,Al-Fakir Al Rabab'a E.; Rashid A.; Shams S.; Bose S.,"Al-Fakir Al Rabab'a, Eltayyeb (58179720700); Rashid, Afzalur (37122525300); Shams, Syed (55710730300); Bose, Sudipta (57192987711)",58179720700; 37122525300; 55710730300; 57192987711,Corporate carbon performance and firm risk: Evidence from Asia-Pacific countries,2024,Journal of Contemporary Accounting and Economics,20,2,100427,,,,0,10.1016/j.jcae.2024.100427,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85194098376&doi=10.1016%2fj.jcae.2024.100427&partnerID=40&md5=041f32326f56f58235b02144d567d550,"This study examines the association between corporate carbon performance (CCP) and firm risk using a sample of 9,212 firm-year observations from 13 countries in the Asia-Pacific region over the period 2002–2021. We also examine the moderating role of the quality of country-level governance in the association between CCP and firm risk. We find that CCP is negatively associated with a firm's total, idiosyncratic and systematic risk and that country-level governance quality accentuates the negative association between CCP and firm risk. We also find that country-level business culture, emissions trading schemes, climate change performance and attention to carbon emissions accentuate the negative association between CCP and firm risk. Given the growing demands from regulatory bodies for increased transparency on carbon performance, the insights gained from our research hold significant relevance for regulators, policy makers, investors, financial analysts, scholars and businesses. © 2024 The Author(s)",Asia-Pacific; Carbon mitigation; Carbon risk; Climate change; Firm risk; Idiosyncratic risk; Sustainable finance; Systematic risk,,Article,Final,,Scopus,2-s2.0-85194098376,study examines association between corporate carbon performance ccp firm risk using sample firm year observations countries asia pacific region over period 2002–2021 examine moderating role quality country level governance association between ccp firm risk find ccp negatively associated firm s total idiosyncratic systematic risk country level governance quality accentuates negative association between ccp firm risk find country level business culture emissions trading schemes climate change performance attention carbon emissions accentuate negative association between ccp firm risk given growing demands regulatory bodies increased transparency carbon performance insights gained research hold significant relevance regulators policy makers investors financial analysts scholars businesses © author s,"['ccp firm', 'firm risk', 'association between', 'country level', 'between ccp']"
11,He G.; Li A.Z.,"He, Guanming (56338959200); Li, April Zhichao (58557969600)",56338959200; 58557969600,"Does media coverage of firms' environment, social, and governance (ESG) incidents affect analyst coverage and forecasts? A risk perspective",2024,International Review of Financial Analysis,94,,103289,,,,1,10.1016/j.irfa.2024.103289,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85190531387&doi=10.1016%2fj.irfa.2024.103289&partnerID=40&md5=9ac3550183107614f9f61ac825a1ed8e,"We examine whether and how media coverage of firms' environment, social, and governance (ESG) incidents is associated with analyst coverage and forecasts. We propound that the risks of firms could either increase or decrease as a result of media-covered ESG incidents, depending on the firms' actions on the media coverage, and thus its impact on analyst coverage and forecasts would vary. Based on a sample of U.S. listed companies, we find evidence that the level of analyst coverage is negatively associated with a firm's ESG incidents covered by the media. This association is more pronounced for firms with more intense industrial product market competition, more severe ESG scandals, or coverage by less sophisticated analysts. We also find that the firms' ESG incidents covered by the media would lead to higher levels of forecast error and dispersion. Our mediation analysis further reveals that business risk and information risk tend to be higher for firms covered by the media for having been involved in ESG incidents, thereby explaining why the analysts' coverage and forecasts for these firms are adversely affected. Overall, our results highlight the importance of curbing corporate social irresponsibility and improving analyst performance in forecasting. © 2023",Analyst following; Analyst forecast dispersion; Analyst forecast error; Corporate social irresponsibility; Media coverage,,Article,Final,,Scopus,2-s2.0-85190531387,examine whether how media coverage firms environment social governance esg incidents associated analyst coverage forecasts propound risks firms either increase decrease result media covered esg incidents depending firms actions media coverage thus its impact analyst coverage forecasts vary based sample u s listed companies find evidence level analyst coverage negatively associated firm s esg incidents covered media association more pronounced firms more intense industrial product market competition more severe esg scandals coverage less sophisticated analysts find firms esg incidents covered media lead higher levels forecast error dispersion mediation analysis further reveals business risk information risk tend higher firms covered media having been involved esg incidents thereby explaining why analysts coverage forecasts these firms are adversely affected overall results highlight importance curbing corporate social irresponsibility improving analyst performance forecasting ©,"['esg incidents', 'analyst coverage', 'covered media', 'coverage forecasts', 'incidents covered']"
12,Ahmed W.M.A.,"Ahmed, Walid M.A. (55441098300)",55441098300,Attention to climate change and eco-friendly financial-asset prices: A quantile ARDL approach,2024,Energy Economics,136,,107696,,,,0,10.1016/j.eneco.2024.107696,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85196319059&doi=10.1016%2fj.eneco.2024.107696&partnerID=40&md5=960817fad6d9795f00c553355ae39991,"In recent years, heightened global attention to climate change threats has spurred a rising tide of investors towards eco-conscious investment alternatives, reflecting a persistent urgency to align financial activities with sustainability objectives. This paper examines the potential role of people's attention to climate change concerns in explaining the price dynamics of various environmentally friendly financial assets, including solar energy stocks, clean energy stocks, sustainable stocks, low-carbon footprint stocks, and green bonds. The sample period is from January 03, 2014 to March 08, 2024. The principal component analysis is used to construct a proxy indicator for climate change-related attention, while the quantile ARDL approach is adopted to assess the relevance of this attention not only across short- and long-term horizons but also amidst normal, bearish, and bullish market conditions. The results reveal that eco-friendly financial assets are sensitive to public focus on climate change in the short run. The observed sensitivity, nonetheless, tends to fade away over the long term. For most assets examined, the magnitude of this sensitivity is not symmetric across quantiles; rather, it appears to vary depending on the prevailing market states. Our findings bear important implications for both investors and policymakers. © 2024 Elsevier B.V.",Clean energy; Climate change; Principal component analysis; Quantile ARDL; Solar energy; Sustainable financial assets,Carbon footprint; Climate change; Commerce; Costs; Emission control; Environmental protection; Investments; Solar energy; Sustainable development; Asset prices; Clean energy; Eco-friendly; Financial activity; Financial assets; Price dynamics; Principal-component analysis; Quantile ARDL; Sustainability objectives; Sustainable financial asset; Principal component analysis,Article,Final,,Scopus,2-s2.0-85196319059,recent years heightened global attention climate change threats spurred rising tide investors towards eco conscious investment alternatives reflecting persistent urgency align financial activities sustainability objectives paper examines potential role people s attention climate change concerns explaining price dynamics various environmentally friendly financial assets including solar energy stocks clean energy stocks sustainable stocks low carbon footprint stocks green bonds sample period january march principal component analysis used construct proxy indicator climate change related attention while quantile ardl approach adopted assess relevance attention not only across short long term horizons but amidst normal bearish bullish market conditions results reveal eco friendly financial assets are sensitive public focus climate change short run observed sensitivity nonetheless tends fade away over long term most assets examined magnitude sensitivity not symmetric across quantiles rather it appears vary depending prevailing market states findings bear important implications both investors policymakers © elsevier v,"['climate change', 'financial assets', 'attention climate', 'friendly financial', 'energy stocks']"
13,Agnese P.; Arduino F.R.; Bruno E.; Vento G.A.,"Agnese, Paolo (57219387952); Arduino, Francesca Romana (57941472500); Bruno, Emma (57337088500); Vento, Gianfranco Antonio (57221997652)",57219387952; 57941472500; 57337088500; 57221997652,On the road to sustainability: The role of board characteristics in driving ESG performance in Africa,2024,Socio-Economic Planning Sciences,95,,101994,,,,0,10.1016/j.seps.2024.101994,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85196193038&doi=10.1016%2fj.seps.2024.101994&partnerID=40&md5=137b93531054d4b6787d555749bf6d5b,"This paper investigates the relationship between board characteristics and environmental, social, and governance (ESG) performance by analyzing 109 firms listed in the African Stock Exchanges from 2016 to 2022. Our findings indicate that board independence, as well as board gender diversity and specific skills, are associated with higher levels of ESG performance. In contrast, larger boards tend to diminish ESG performance in Africa. We also found that the presence of a sustainability committee and a corporate governance committee contributes to driving positive ESG outcomes. This study provides relevant insights and yields significant implications for policymakers and companies, suggesting the need to increase sustainability concerns in their agendas to foster sustainable economic growth in Africa. © 2024 Elsevier Ltd",Africa; Board characteristics; Corporate governance; ESG performance; Sustainability,,Article,Final,,Scopus,2-s2.0-85196193038,paper investigates relationship between board characteristics environmental social governance esg performance analyzing firms listed african stock exchanges findings indicate board independence well board gender diversity specific skills are associated higher levels esg performance contrast larger boards tend diminish esg performance africa found presence sustainability committee corporate governance committee contributes driving positive esg outcomes study provides relevant insights yields significant implications policymakers companies suggesting need increase sustainability concerns agendas foster sustainable economic growth africa © elsevier ltd,"['esg performance', 'performance contrast', 'performance analyzing', 'performance africa', 'paper investigates']"
